Lemma,Sense,SuperSense,POS_Tag,Definition,Head,HeadAmod,Gender,Examples
businessmen,businessman.n.01,noun.person,n,a person engaged in commercial or industrial business (especially an owner or executive),engaged,,,[]
businessperson,businessperson.n.01,noun.person,n,a capitalist who engages in industrial commercial enterprise,capitalist,,,[]
businesswoman,businesswoman.n.01,noun.person,n,a female businessperson,businessperson,female,F,[]
busker,busker.n.01,noun.person,n,"a person who entertains people for money in public places (as by singing or dancing), usually while asking for money",person,,,[]
busman,busman.n.01,noun.person,n,someone who drives a bus,someone,,,[]
buster,fellow.n.06,noun.person,n,an informal form of address for a man,form,,,"['Say, fellow, what are you doing?', ""Hey buster, what's up?""]"
buster,buster.n.02,noun.person,n,a robust child,child,,,[]
buster,buster.n.03,noun.person,n,a person who breaks horses,person,,,[]
buster,buster.n.04,noun.person,n,a person (or thing) that breaks up or overpowers something,person,,,"['dam buster', 'sanction buster', 'crime buster']"
buster,baby_buster.n.01,noun.person,n,a person born in the generation following the baby boom when the birth rate fell dramatically,person,,,[]
buster_keaton,keaton.n.01,noun.person,n,United States comedian and actor in silent films noted for his acrobatic skills and deadpan face (1895-1966),noted,,,[]
busy_bee,eager_beaver.n.01,noun.person,n,an alert and energetic person,alert,,,[]
busybody,busybody.n.01,noun.person,n,a person who meddles in the affairs of others,person,,,[]
butcher,butcher.n.01,noun.person,n,a retailer of meat,retailer,,,[]
butcher,butcher.n.02,noun.person,n,a brutal indiscriminate murderer,murderer,,,[]
butcher,butcher.n.03,noun.person,n,a person who slaughters or dresses meat for market,person,,,[]
butcher,bungler.n.01,noun.person,n,someone who makes mistakes because of incompetence,someone,,,[]
butcher_cumberland,cumberland.n.01,noun.person,n,English general; son of George II; fought unsuccessfully in the battle of Fontenoy (1721-1765),general,,,[]
butler,butler.n.01,noun.person,n,a manservant (usually the head servant of a household) who has charge of wines and the table,manservant,,,[]
butler,butler.n.02,noun.person,n,English novelist who described a fictitious land he called Erewhon (1835-1902),novelist,,,[]
butler,butler.n.03,noun.person,n,English poet (1612-1680),poet,,,[]
butt,butt.n.03,noun.person,n,a victim of ridicule or pranks,victim,,,[]
butter,butter.n.02,noun.person,n,a fighter who strikes the opponent with his head,fighter,,,[]
butterball,fatso.n.01,noun.person,n,a rotund individual,individual,,,[]
butterfield,butterfield.n.01,noun.person,n,English architect who designed many churches (1814-1900),architect,,,[]
butterfingers,butterfingers.n.01,noun.person,n,someone who drops things (especially one who cannot catch a ball),someone,,,[]
butterfly_collector,lepidopterist.n.01,noun.person,n,an entomologist who specializes in the collection and study of butterflies and moths,entomologist,,,[]
buttinsky,buttinsky.n.01,noun.person,n,a meddler who tends to butt in,meddler,,,[]
buyer,buyer.n.01,noun.person,n,a person who buys,person,,,[]
by-blow,bastard.n.02,noun.person,n,the illegitimate offspring of unmarried parents,offspring,,,[]
byelorussian,byelorussian.n.01,noun.person,n,a native or inhabitant of Byelorussia,a,,,[]
byrd,byrd.n.01,noun.person,n,English organist and composer of church music; master of 16th century polyphony; was granted a monopoly in music printing with Thomas Tallis (1543-1623),granted,,,[]
byrd,byrd.n.02,noun.person,n,explorer and United States naval officer; led expeditions to explore Antarctica (1888-1957),officer,,,[]
byron,byron.n.01,noun.person,n,English romantic poet notorious for his rebellious and unconventional lifestyle (1788-1824),poet,,,[]
bystander,bystander.n.01,noun.person,n,a nonparticipant spectator,spectator,,,[]
c._d._gibson,gibson.n.01,noun.person,n,United States illustrator remembered for his creation of the `Gibson girl' (1867-1944),remembered,,,[]
c._h._best,best.n.03,noun.person,n,Canadian physiologist (born in the United States) who assisted F. G. Banting in research leading to the discovery of insulin (1899-1978),physiologist,,,[]
c._k._ogden,ogden.n.01,noun.person,n,English psychologist who collaborated with I. A. Richards in designing Basic English (1889-1957),psychologist,,,[]
c._northcote_parkinson,parkinson.n.02,noun.person,n,British historian noted for ridicule of bureaucracies (1909-1993),noted,,,[]
c._p._snow,snow.n.03,noun.person,n,English writer of novels about moral dilemmas in academe (1905-1980),writer,,,[]
c._s._forester,forester.n.01,noun.person,n,English writer of adventure novels featuring Captain Horatio Hornblower (1899-1966),writer,,,[]
c._s._lewis,lewis.n.06,noun.person,n,English critic and novelist; author of theological works and of books for children (1898-1963),critic,,,[]
c._vann_woodward,woodward.n.01,noun.person,n,United States historian (1908-1999),historian,,,[]
c._w._post,post.n.07,noun.person,n,United States manufacturer of breakfast cereals and Postum (1854-1914),manufacturer,,,[]
cabalist,cabalist.n.01,noun.person,n,a member of a cabal,member,,,[]
cabalist,cabalist.n.02,noun.person,n,an expert who is highly skilled in obscure or difficult or esoteric matters,expert,,,[]
cabalist,cabalist.n.03,noun.person,n,a student of the Jewish Kabbalah,student,,,[]
cabby,taxidriver.n.01,noun.person,n,someone who drives a taxi for a living,someone,,,[]
cabdriver,taxidriver.n.01,noun.person,n,someone who drives a taxi for a living,someone,,,[]
cabell,cabell.n.01,noun.person,n,United States writer of satirical novels (1879-1958),writer,,,[]
cabin_boy,cabin_boy.n.01,noun.person,n,a young man acting as a servant on a ship,man,,M,[]
cabinet_minister,cabinet_minister.n.01,noun.person,n,a person who is a member of the cabinet,person,,,[]
cabinetmaker,cabinetmaker.n.01,noun.person,n,a woodworker who specializes in making furniture,woodworker,,,[]
cabman,taxidriver.n.01,noun.person,n,someone who drives a taxi for a living,someone,,,[]
cabot,cabot.n.01,noun.person,n,son of John Cabot who was born in Italy and who led an English expedition in search of the Northwest Passage and a Spanish expedition that explored the La Plata region of Brazil; in 1544 he published a map of the world (1476-1557),son,,M,[]
cabot,cabot.n.02,noun.person,n,Italian explorer who led the English expedition in 1497 that discovered the mainland of North America and explored the coast from Nova Scotia to Newfoundland (ca. 1450-1498),explorer,,,[]
cacodaemon,cacodemon.n.01,noun.person,n,an evil spirit,spirit,,,[]
cacodemon,cacodemon.n.01,noun.person,n,an evil spirit,spirit,,,[]
cad,cad.n.01,noun.person,n,someone who is morally reprehensible,someone,,,['you dirty dog']
caddie,caddie.n.01,noun.person,n,an attendant who carries the golf clubs for a player,attendant,,,[]
caddo,caddo.n.01,noun.person,n,a group of Plains Indians formerly living in what is now North and South Dakota and Nebraska and Kansas and Arkansas and Louisiana and Oklahoma and Texas,group,,,[]
cadet,cadet.n.01,noun.person,n,a military trainee (as at a military academy),trainee,,,[]
cadger,moocher.n.01,noun.person,n,someone who mooches or cadges (tries to get something free),someone,,,[]
cadmus,cadmus.n.01,noun.person,n,(Greek mythology) the brother of Europa and traditional founder of Thebes in Boeotia,mythology,,,[]
caesar,caesar.n.01,noun.person,n,conqueror of Gaul and master of Italy (100-44 BC),conqueror,,,[]
caesar,caesar.n.02,noun.person,n,United States comedian who pioneered comedy television shows (born 1922),comedian,,,[]
caffein_addict,caffeine_addict.n.01,noun.person,n,someone addicted to caffeine,addicted,,,[]
caffeine_addict,caffeine_addict.n.01,noun.person,n,someone addicted to caffeine,addicted,,,[]
caffer,kaffir.n.02,noun.person,n,an offensive and insulting term for any Black African,term,,,[]
caffre,kaffir.n.02,noun.person,n,an offensive and insulting term for any Black African,term,,,[]
cage,cage.n.03,noun.person,n,United States composer of avant-garde music (1912-1992),composer,,,[]
cager,basketball_player.n.01,noun.person,n,an athlete who plays basketball,athlete,,,[]
cagliostro,cagliostro.n.01,noun.person,n,Italian who was famous as a magician and alchemist (1743-1795),Italian,,,[]
cagney,cagney.n.01,noun.person,n,United States film actor known for his portrayals of tough characters (1899-1986),known,,,[]
cahita,cahita.n.01,noun.person,n,a member of the Taracahitian people of central Mexico,member,,,[]
cain,cain.n.01,noun.person,n,(Old Testament) Cain and Abel were the first children of Adam and Eve born after the Fall of Man; Cain killed Abel out of jealousy and was exiled by God,children,,,[]
cairene,cairene.n.01,noun.person,n,a native or inhabitant of Cairo,a,,,[]
cajun,cajun.n.01,noun.person,n,a Louisianian descended from Acadian immigrants from Nova Scotia (`Cajun' comes from `Acadian'),comes,,,[]
cakchiquel,cakchiquel.n.01,noun.person,n,a member of the Mayan people living in south central Guatemala,member,,,[]
calamity_jane,burk.n.01,noun.person,n,United States frontierswoman and legendary figure of the Wild West noted for her marksmanship (1852-1903),noted,,,[]
calapooya,kalapooia.n.01,noun.person,n,a member of the North American Indian people of Oregon,member,,,[]
calapuya,kalapooia.n.01,noun.person,n,a member of the North American Indian people of Oregon,member,,,[]
calculator,calculator.n.01,noun.person,n,an expert at calculation (or at operating calculating machines),expert,,,[]
calder,calder.n.01,noun.person,n,United States sculptor who first created mobiles and stabiles (1898-1976),sculptor,,,[]
calderon,calderon.n.01,noun.person,n,Spanish poet and dramatist considered one of the great Spanish writers (1600-1681),considered,,,[]
calderon_de_la_barca,calderon.n.01,noun.person,n,Spanish poet and dramatist considered one of the great Spanish writers (1600-1681),considered,,,[]
caldwell,caldwell.n.01,noun.person,n,United States author remembered for novels about poverty and degeneration (1903-1987),remembered,,,[]
calif,caliph.n.01,noun.person,n,the civil and religious leader of a Muslim state considered to be a representative of Allah on earth,considered,,,['many radical Muslims believe a Khalifah will unite all Islamic lands and people and subjugate the rest of the world']
caligula,caligula.n.01,noun.person,n,Roman Emperor who succeeded Tiberius and whose uncontrolled passions resulted in manifest insanity; noted for his cruelty and tyranny; was assassinated (12-41),resulted,,,[]
caliph,caliph.n.01,noun.person,n,the civil and religious leader of a Muslim state considered to be a representative of Allah on earth,considered,,,['many radical Muslims believe a Khalifah will unite all Islamic lands and people and subjugate the rest of the world']
calixtus_ii,calixtus_ii.n.01,noun.person,n,pope who in 1122 forced the Holy Roman Emperor Henry V to sign a concordat that recognized the right of the church to choose its own leadership (died in 1124),pope,,,[]
calixtus_iii,calixtus_iii.n.01,noun.person,n,Italian pope whose nepotism put the Borgia family in power in Italy (1378-1458),pope,,,[]
call_girl,call_girl.n.01,noun.person,n,a female prostitute who can be hired by telephone,prostitute,female,F,[]
callas,callas.n.01,noun.person,n,Greek coloratura soprano (born in the United States) known for her dramatic intensity in operatic roles (1923-1977),known,,,[]
caller-out,caller.n.04,noun.person,n,a person who announces the changes of steps during a dance,person,,,['you need a fiddler and a caller for country dancing']
caller-up,caller.n.07,noun.person,n,the person initiating a telephone call,person,,,['there were so many callers that he finally disconnected the telephone']
calligrapher,calligrapher.n.01,noun.person,n,someone skilled in penmanship,someone,,,[]
calligraphist,calligrapher.n.01,noun.person,n,someone skilled in penmanship,someone,,,[]
calliope,calliope.n.01,noun.person,n,(Greek mythology) the Muse of epic poetry,mythology,,,[]
calvert_vaux,vaux.n.01,noun.person,n,United States landscape architect (born in England) who designed Central Park (1824-1895),architect,,,[]
calvin,calvin.n.01,noun.person,n,United States chemist noted for discovering the series of chemical reactions in photosynthesis (1911-),noted,,,[]
calvin,calvin.n.02,noun.person,n,Swiss theologian (born in France) whose tenets (predestination and the irresistibility of grace and justification by faith) defined Presbyterianism (1509-1564),theologian,,,[]
calvin_coolidge,coolidge.n.01,noun.person,n,elected vice president and succeeded as 30th President of the United States when Harding died in 1923 (1872-1933),president,,,[]
calvin_klein,klein.n.03,noun.person,n,United States fashion designer noted for understated fashions (born in 1942),noted,,,[]
calvin_richard_klein,klein.n.03,noun.person,n,United States fashion designer noted for understated fashions (born in 1942),noted,,,[]
calvino,calvino.n.01,noun.person,n,Italian writer of novels and short stories (born in Cuba) (1923-1987),writer,,,[]
calypso,calypso.n.02,noun.person,n,(Greek mythology) the sea nymph who detained Odysseus for seven years,mythology,,,[]
camera_operator,cameraman.n.01,noun.person,n,a photographer who operates a movie camera,photographer,,,[]
cameraman,cameraman.n.01,noun.person,n,a photographer who operates a movie camera,photographer,,,[]
camillo_golgi,golgi.n.01,noun.person,n,Italian histologist noted for work on the structure of the nervous system and for his discovery of Golgi bodies (1844-1926),noted,,,[]
camp_follower,camp_follower.n.01,noun.person,n,a prostitute who provides service to military personnel,prostitute,,F,[]
camp_follower,camp_follower.n.02,noun.person,n,a follower who is not a member of an ingroup,follower,,,[]
campaigner,campaigner.n.01,noun.person,n,a politician who is running for public office,politician,,,[]
campbell,campbell.n.01,noun.person,n,United States mythologist (1904-1987),mythologist,,,[]
camper,camper.n.01,noun.person,n,someone living temporarily in a tent or lodge for recreation,someone,,,[]
campfire_girl,campfire_girl.n.01,noun.person,n,a girl who is a member of Campfire Girls; for girls age 7-18,girl,,F,[]
campmate,campmate.n.01,noun.person,n,someone who lives in the same camp you do,someone,,,[]
camus,camus.n.01,noun.person,n,French writer who portrayed the human condition as isolated in an absurd world (1913-1960),writer,,,[]
canaanite,canaanite.n.01,noun.person,n,a member of an ancient Semitic people who occupied Canaan before it was conquered by the Israelites,member,,,[]
canarese,kanarese.n.01,noun.person,n,a member of a Kannada-speaking group of people living chiefly in Kanara in southern India,member,,,[]
canaries,fink.n.01,noun.person,n,someone acting as an informer or decoy for the police,someone,,,[]
canaries,canary.n.02,noun.person,n,a female singer,singer,female,F,[]
cancer,cancer.n.02,noun.person,n,(astrology) a person who is born while the sun is in Cancer,astrology,,,[]
candidate,campaigner.n.01,noun.person,n,a politician who is running for public office,politician,,,[]
candidate,candidate.n.02,noun.person,n,someone who is considered for something (for an office or prize or honor etc.),someone,,,[]
candlemaker,candlemaker.n.01,noun.person,n,a person who makes or sells candles,person,,,[]
candy_striper,candy_striper.n.01,noun.person,n,a volunteer worker in a hospital,worker,,,[]
candymaker,confectioner.n.01,noun.person,n,someone who makes candies and other sweets,someone,,,[]
canetti,canetti.n.01,noun.person,n,English writer born in Germany (1905-1994),writer,,,[]
cannibal,cannibal.n.01,noun.person,n,a person who eats human flesh,person,,,[]
cannon_fodder,cannon_fodder.n.01,noun.person,n,soldiers who are regarded as expendable in the face of artillery fire,soldiers,,,[]
cannoneer,artilleryman.n.01,noun.person,n,a serviceman in the artillery,serviceman,,,[]
canoeist,canoeist.n.01,noun.person,n,someone paddling a canoe,someone,,,[]
canon,canon.n.02,noun.person,n,a priest who is a member of a cathedral chapter,priest,,,[]
cantabrigian,cantabrigian.n.01,noun.person,n,a resident of Cambridge,resident,,,[]
cantor,choirmaster.n.01,noun.person,n,the musical director of a choir,director,,,[]
cantor,cantor.n.02,noun.person,n,the official of a synagogue who conducts the liturgical part of the service and sings or chants the prayers intended to be performed as solos,official,,,[]
canuck,canuck.n.01,noun.person,n,informal term for Canadians in general and French Canadians in particular,term,,,[]
canute,canute.n.01,noun.person,n,"king of Denmark and Norway who forced Edmund II to divide England with him; on the death of Edmund II, Canute became king of all England (994-1035)",king,,M,[]
canute_the_great,canute.n.01,noun.person,n,"king of Denmark and Norway who forced Edmund II to divide England with him; on the death of Edmund II, Canute became king of all England (994-1035)",king,,M,[]
canvasser,solicitor.n.01,noun.person,n,a petitioner who solicits contributions or trade or votes,petitioner,,,[]
canvasser,scrutineer.n.01,noun.person,n,someone who examines votes at an election,someone,,,[]
canvasser,pollster.n.01,noun.person,n,someone who conducts surveys of public opinion,someone,,,"['a pollster conducts public opinion polls', 'a headcounter counts heads']"
canvasser,canvasser.n.04,noun.person,n,a person who takes or counts votes,person,,,[]
capek,capek.n.01,noun.person,n,Czech writer who introduced the word `robot' into the English language (1890-1938),writer,,,[]
capet,capet.n.01,noun.person,n,King of France elected in 987 and founding the Capetian dynasty (940-996),elected,,,[]
capo,capo.n.01,noun.person,n,the head of a branch of an organized crime syndicate,head,,,[]
capone,capone.n.01,noun.person,n,United States gangster who terrorized Chicago during prohibition until arrested for tax evasion (1899-1947),gangster,,,[]
capra,capra.n.01,noun.person,n,United States film maker (1897-1991),maker,,,[]
capricorn,capricorn.n.01,noun.person,n,(astrology) a person who is born while the sun is in Capricorn,astrology,,,[]
captain,captain.n.01,noun.person,n,an officer holding a rank below a major but above a lieutenant,officer,,,[]
captain,captain.n.02,noun.person,n,the naval officer in command of a military ship,officer,,,[]
captain,captain.n.03,noun.person,n,a policeman in charge of a precinct,policeman,,,[]
captain,master.n.07,noun.person,n,an officer who is licensed to command a merchant ship,officer,,,[]
captain,captain.n.05,noun.person,n,the leader of a group of people,leader,,,['a captain of industry']
captain,captain.n.06,noun.person,n,the pilot in charge of an airship,pilot,,,[]
captain,captain.n.07,noun.person,n,a dining-room attendant who is in charge of the waiters and the seating of customers,attendant,,,[]
captain_bligh,bligh.n.01,noun.person,n,"British admiral; was captain of the H.M.S. Bounty in 1789 when part of the crew mutinied and set him afloat in an open boat; a few weeks later he arrived safely in Timor 4,000 miles away (1754-1817)",captain,,,[]
captain_bob,bartlett.n.01,noun.person,n,United States explorer who accompanied Peary's expedition to the North Pole and who led many other Arctic trips (1875-1946),explorer,,,[]
captain_cook,cook.n.02,noun.person,n,English navigator who claimed the east coast of Australia for Britain and discovered several Pacific islands (1728-1779),navigator,,,[]
captain_horatio_hornblower,horatio_hornblower.n.01,noun.person,n,a fictional English admiral during the Napoleonic Wars in novels written by C. S. Forester,written,,,[]
captain_james_cook,cook.n.02,noun.person,n,English navigator who claimed the east coast of Australia for Britain and discovered several Pacific islands (1728-1779),navigator,,,[]
captain_john_smith,smith.n.07,noun.person,n,"English explorer who helped found the colony at Jamestown, Virginia; was said to have been saved by Pocahontas (1580-1631)",said,,,[]
captain_kidd,kidd.n.01,noun.person,n,Scottish sea captain who was hired to protect British shipping in the Indian Ocean and then was accused of piracy and hanged (1645-1701),captain,,,[]
captor,captor.n.01,noun.person,n,a person who captures and holds people or animals,person,,,[]
capturer,captor.n.01,noun.person,n,a person who captures and holds people or animals,person,,,[]
car-mechanic,automobile_mechanic.n.01,noun.person,n,someone whose occupation is repairing and maintaining automobiles,someone,,,[]
carabineer,carbineer.n.01,noun.person,n,a soldier (historically a mounted soldier) who is armed with a carbine,soldier,,M,[]
carabinier,carbineer.n.01,noun.person,n,a soldier (historically a mounted soldier) who is armed with a carbine,soldier,,M,[]
caravaggio,caravaggio.n.01,noun.person,n,Italian painter noted for his realistic depiction of religious subjects and his novel use of light (1573-1610),noted,,,[]
carbineer,carbineer.n.01,noun.person,n,a soldier (historically a mounted soldier) who is armed with a carbine,soldier,,M,[]
card,wag.n.01,noun.person,n,a witty amusing person who makes jokes,person,,,[]
card_player,card_player.n.01,noun.person,n,someone who plays (or knows how to play) card games,someone,,,[]
card_shark,cardsharp.n.01,noun.person,n,a professional card player who makes a living by cheating at card games,player,,,[]
card_sharp,cardsharp.n.01,noun.person,n,a professional card player who makes a living by cheating at card games,player,,,[]
card_sharper,cardsharp.n.01,noun.person,n,a professional card player who makes a living by cheating at card games,player,,,[]
cardholder,cardholder.n.01,noun.person,n,a person who holds a credit card or debit card,person,,,[]
cardholder,cardholder.n.02,noun.person,n,a player who holds a card or cards in a card game,player,,,[]
cardinal_bellarmine,bellarmine.n.01,noun.person,n,Italian cardinal and theologian (1542-1621),cardinal,,,[]
cardinal_newman,newman.n.02,noun.person,n,English prelate and theologian who (with John Keble and Edward Pusey) founded the Oxford movement; Newman later turned to Roman Catholicism and became a cardinal (1801-1890),prelate,,,[]
cardinal_richelieu,richelieu.n.01,noun.person,n,French prelate and statesman; principal minister to Louis XIII (1585-1642),prelate,,,[]
cardiologist,cardiologist.n.01,noun.person,n,a specialist in cardiology; a specialist in the structure and function and disorders of the heart,specialist,,,[]
cards,wag.n.01,noun.person,n,a witty amusing person who makes jokes,person,,,[]
cardsharp,cardsharp.n.01,noun.person,n,a professional card player who makes a living by cheating at card games,player,,,[]
cardsharper,cardsharp.n.01,noun.person,n,a professional card player who makes a living by cheating at card games,player,,,[]
carducci,carducci.n.01,noun.person,n,Italian poet considered the national poet of modern Italy (1835-1907),considered,,,[]
career_girl,career_girl.n.01,noun.person,n,a woman who is a careerist,woman,,F,[]
career_man,career_man.n.01,noun.person,n,a man who is a careerist,man,,M,[]
careerist,careerist.n.01,noun.person,n,a professional who is intent on furthering his or her career by any possible means and often at the expense of their own integrity,professional,,,[]
caregiver,health_professional.n.01,noun.person,n,a person who helps in identifying or preventing or treating illness or disability,person,,,[]
caregiver,caregiver.n.02,noun.person,n,a person who is responsible for attending to the needs of a child or dependent adult,person,,,[]
carelian,karelian.n.01,noun.person,n,a member of the Finnish people living in Karelia in northwestern European Russia,member,,,[]
caretaker,caretaker.n.01,noun.person,n,a custodian who is hired to take care of something (property or a person),custodian,,,[]
caretaker,caretaker.n.02,noun.person,n,an official who performs the duties of an office temporarily,official,,,['he acted as a caretaker until a new president could be elected']
carew,carew.n.01,noun.person,n,Englishman and Cavalier poet whose lyric poetry was favored by Charles I (1595-1639),Englishman,,,[]
carhop,carhop.n.01,noun.person,n,a waiter at a drive-in restaurant,waiter,,,[]
carib,carib.n.01,noun.person,n,a member of an American Indian peoples of northeastern South America and the Lesser Antilles,member,,,[]
carib_indian,carib.n.01,noun.person,n,a member of an American Indian peoples of northeastern South America and the Lesser Antilles,member,,,[]
caricaturist,caricaturist.n.01,noun.person,n,someone who parodies in an exaggerated manner,someone,,,[]
carillonneur,carillonneur.n.01,noun.person,n,a musician who plays a carillon,musician,,,[]
carioca,carioca.n.01,noun.person,n,a native or inhabitant of Rio de Janeiro,a,,,[]
carl_anderson,anderson.n.05,noun.person,n,United States physicist who discovered antimatter in the form of an antielectron that is called the positron (1905-1991),physicist,,,[]
carl_august_nielsen,nielsen.n.01,noun.person,n,Danish composer (1865-1931),composer,,,[]
carl_clinton_van_doren,van_doren.n.01,noun.person,n,United States writer and literary critic (1885-1950),writer,,,[]
carl_david_anderson,anderson.n.05,noun.person,n,United States physicist who discovered antimatter in the form of an antielectron that is called the positron (1905-1991),physicist,,,[]
carl_gustaf_mossander,mosander.n.01,noun.person,n,Swedish chemist who discovered rare earth elements (1797-1858),chemist,,,[]
carl_gustav_jung,jung.n.01,noun.person,n,Swiss psychologist (1875-1961),psychologist,,,[]
carl_jung,jung.n.01,noun.person,n,Swiss psychologist (1875-1961),psychologist,,,[]
carl_lewis,lewis.n.02,noun.person,n,United States athlete who won gold medals at the Olympics for his skill in sprinting and jumping (born in 1961),athlete,,,[]
carl_maria_von_weber,weber.n.05,noun.person,n,German conductor and composer of romantic operas (1786-1826),conductor,,,[]
carl_nielsen,nielsen.n.01,noun.person,n,Danish composer (1865-1931),composer,,,[]
carl_orff,orff.n.01,noun.person,n,German musician who developed a widely used system for teaching music to children (1895-1982),musician,,,[]
carl_rogers,rogers.n.03,noun.person,n,United States psychologist who developed client-centered therapy (1902-1987),psychologist,,,[]
carl_sandburg,sandburg.n.01,noun.person,n,United States writer remembered for his poetry in free verse and his six volume biography of Abraham Lincoln (1878-1967),remembered,,,[]
carl_van_doren,van_doren.n.01,noun.person,n,United States writer and literary critic (1885-1950),writer,,,[]
carl_von_linne,linnaeus.n.01,noun.person,n,Swedish botanist who proposed the modern system of biological nomenclature (1707-1778),botanist,,,[]
carl_xvi_gustaf,carl_xvi_gustav.n.01,noun.person,n,king of Sweden since 1973 (born 1946),king,,M,[]
carl_xvi_gustav,carl_xvi_gustav.n.01,noun.person,n,king of Sweden since 1973 (born 1946),king,,M,[]
carl_yastrzemski,yastrzemski.n.01,noun.person,n,United States baseball player (born in 1939),player,,,[]
carlo_goldoni,goldoni.n.01,noun.person,n,prolific Italian dramatist (1707-1793),dramatist,,,[]
carlos,sanchez.n.01,noun.person,n,Venezuelan master terrorist raised by a Marxist-Leninist father; trained and worked with many terrorist groups (born in 1949),raised,,,[]
carlos_chavez,chavez.n.01,noun.person,n,Mexican composer of nationalistic works using themes from Indian folk music (1899-1978),composer,,,[]
carlos_fuentes,fuentes.n.01,noun.person,n,Mexican novelist (born in 1928),novelist,,,[]
carlos_the_jackal,sanchez.n.01,noun.person,n,Venezuelan master terrorist raised by a Marxist-Leninist father; trained and worked with many terrorist groups (born in 1949),raised,,,[]
carlovingian,carolingian.n.01,noun.person,n,a member of the Carolingian dynasty,member,,,[]
carlyle,carlyle.n.01,noun.person,n,Scottish historian who wrote about the French Revolution (1795-1881),historian,,,[]
carmichael,carmichael.n.01,noun.person,n,United States songwriter (1899-1981),songwriter,,,[]
carnegie,carnegie.n.01,noun.person,n,United States educator famous for writing a book about how to win friends and influence people (1888-1955),educator,,,[]
carnegie,carnegie.n.02,noun.person,n,United States industrialist and philanthropist who endowed education and public libraries and research trusts (1835-1919),industrialist,,,[]
carnot,carnot.n.01,noun.person,n,French physicist who founded thermodynamics (1796-1832),physicist,,,[]
caroler,caroler.n.01,noun.person,n,a singer of carols,singer,,,[]
carolinian,carolinian.n.01,noun.person,n,a native or resident of the Carolinas,a,,,[]
caroller,caroler.n.01,noun.person,n,a singer of carols,singer,,,[]
carolus,charlemagne.n.01,noun.person,n,king of the Franks and Holy Roman Emperor; conqueror of the Lombards and Saxons (742-814),king,,M,[]
carolus_linnaeus,linnaeus.n.01,noun.person,n,Swedish botanist who proposed the modern system of biological nomenclature (1707-1778),botanist,,,[]
carothers,carothers.n.01,noun.person,n,United States chemist who developed nylon (1896-1937),chemist,,,[]
carouser,wassailer.n.01,noun.person,n,someone who enjoys riotous drinking,someone,,,[]
carpenter,carpenter.n.01,noun.person,n,a woodworker who makes or repairs wooden objects,woodworker,,,[]
carper,carper.n.01,noun.person,n,someone who constantly criticizes in a petty way,someone,,,[]
carpet_knight,carpet_knight.n.01,noun.person,n,a knight who spends his time in luxury and idleness (knighted on the carpet at court rather than on the field of battle),knight,,,[]
carpetbagger,carpetbagger.n.01,noun.person,n,an outsider who seeks power or success presumptuously,outsider,,,['after the Civil War the carpetbaggers from the north tried to take over the south']
carrel,carrel.n.01,noun.person,n,French surgeon and biologist who developed a way to suture and graft blood vessels (1873-1944),surgeon,,,[]
carrere,carrere.n.01,noun.person,n,United States architect who with his partner Thomas Hastings designed many important public buildings (1858-1911),architect,,,[]
carrier,carrier.n.01,noun.person,n,someone whose employment involves carrying something,someone,,,['the bonds were transmitted by carrier']
carrier,mailman.n.01,noun.person,n,a man who delivers the mail,man,,M,[]
carrier,carrier.n.08,noun.person,n,a boy who delivers newspapers,boy,,M,[]
carrier,carrier.n.09,noun.person,n,(medicine) a person (or animal) who has some pathogen to which he is immune but who can pass it on to others,medicine,,,[]
carroll,carroll.n.01,noun.person,n,English author; Charles Dodgson was an Oxford don of mathematics who is remembered for the children's stories he wrote under the pen name Lewis Carroll (1832-1898),author,,,[]
carrottop,redhead.n.01,noun.person,n,someone who has red hair,someone,,,[]
carry_amelia_moore_nation,nation.n.03,noun.person,n,United States prohibitionist who raided saloons and destroyed bottles of liquor with a hatchet (1846-1911),prohibitionist,,,[]
carry_nation,nation.n.03,noun.person,n,United States prohibitionist who raided saloons and destroyed bottles of liquor with a hatchet (1846-1911),prohibitionist,,,[]
carson,carson.n.01,noun.person,n,United States biologist remembered for her opposition to the use of pesticides that were hazardous to wildlife (1907-1964),remembered,,,[]
carson,carson.n.02,noun.person,n,United States frontiersman who guided Fremont's expeditions in the 1840s and served as a Union general in the American Civil War (1809-1868),frontiersman,,M,[]
carson_mccullers,mccullers.n.01,noun.person,n,United States novelist (1917-1967),novelist,,,[]
carson_smith_mccullers,mccullers.n.01,noun.person,n,United States novelist (1917-1967),novelist,,,[]
carter,carter.n.01,noun.person,n,Englishman and Egyptologist who in 1922 discovered and excavated the tomb of Tutankhamen (1873-1939),Englishman,,,[]
carter,carter.n.02,noun.person,n,39th President of the United States (1924-),President,,,[]
carter,carter.n.03,noun.person,n,someone whose work is driving carts,someone,,,[]
cartier,cartier.n.01,noun.person,n,French explorer who explored the St. Lawrence river and laid claim to the region for France (1491-1557),explorer,,,[]
cartographer,cartographer.n.01,noun.person,n,a person who makes maps,person,,,[]
cartoonist,cartoonist.n.01,noun.person,n,a person who draws cartoons,person,,,[]
cartwright,cartwright.n.01,noun.person,n,English clergyman who invented the power loom (1743-1823),clergyman,,,[]
cartwright,cartwright.n.02,noun.person,n,a workman who makes and repairs carts and wagons,workman,,,[]
caruso,caruso.n.01,noun.person,n,outstanding Italian operatic tenor (1873-1921),tenor,,M,[]
